t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.16916818273701234,0.6664139882757226,0.164417828987265,39576.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.315592315110155,0.2453267561753579,0.43908092871448706,53924.0
aphanotorulus_emarginatus19719,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.10633968280607535,0.7929428547453218,0.10071746244860284,47668.0
baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.17076648841354725,0.6585561497326203,0.17067736185383245,33660.0
hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.3115302642796249,0.25031969309462915,0.438150042625746,46920.0
hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.7439924906132666,0.12440550688360451,0.13160200250312892,47940.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.7032037815126051,0.14750525210084034,0.14929096638655462,38080.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.2703954332375624,0.2760849841221836,0.45351958264025405,52904.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.26558186451475896,0.28655234657039713,0.4478657889148439,37672.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.43694295900178254,0.2495172311348782,0.3135398098633393,53856.0
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.41536985164436147,0.2597261126672891,0.3249040356883494,38556.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.28181579145067986,0.42553151528810756,0.2926526932612125,53244.0
aphanotorulus_emarginatus19719,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.43989584222658584,0.25055493895671477,0.3095492188166994,46852.0
baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.42084505319799437,0.2544943133178427,0.3246606334841629,32708.0
hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.28298596158814915,0.4278270605460339,0.2891869778658169,46444.0
hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.770914561790134,0.12004153246312935,0.10904390574673674,47192.0
aphanotorulus_emarginatus19719,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.8244815911976301,0.0856961489631824,0.08982225983918747,47260.0
baryancistrus_beggini39227,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.7122918413801366,0.14292560201269916,0.14478255660716424,33388.0
hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.2719096334185848,0.4492753623188406,0.2788150042625746,46920.0
hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.43293864823866507,0.3177987527389179,0.249262599022417,47464.0
hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,0.43755397754534114,0.31350158334133,0.24894443911332886,41684.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypostomus_faveolus27640,0.7222319628298414,0.13636363636363635,0.1414044008065223,45628.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypostomus_faveolus27640,0.6466509231429798,0.1807213396307428,0.17262773722627736,46580.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_faveolus27640,0.2310189649630344,0.47534554805528767,0.2936354869816779,62220.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_faveolus27640,0.23972750865051903,0.4632352941176471,0.2970371972318339,46240.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypostomus_faveolus27640,0.6285384460951616,0.19243123870708692,0.17903031519775145,39848.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_faveolus27640,0.23501382764033185,0.4777262874654309,0.28725988489423726,53516.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_faveolus27640,0.24230179028132992,0.46941176470588236,0.2882864450127877,39100.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_faveolus27640,0.12540340325656446,0.13785389467507703,0.7367427020683586,54536.0
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_faveolus27640,0.12283883147853736,0.13928358505564387,0.7378775834658188,40256.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_faveolus27640,0.11143461167569171,0.10702099250797419,0.7815443958163341,53924.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hypancistrus_sp61759,hypostomus_faveolus27640,0.17629699434579904,0.6156383295308006,0.20806467612340046,40324.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_faveolus27640,0.08875064418758742,0.8331370094971656,0.078112346315247,54332.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_faveolus27640,0.14665798176169956,0.721314760998096,0.13202725724020442,39916.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_faveolus27640,0.1073220388278921,0.7952992074456482,0.09737875372645968,55012.0
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_faveolus27640,0.17620053029559068,0.648531866836885,0.1752676028675243,40732.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_faveolus27640,0.2948318804483188,0.22617390667350376,0.47899421287817745,54604.0
aphanotorulus_emarginatus19719,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_faveolus27640,0.11190715602480308,0.7840204457851516,0.10407239819004525,47736.0
baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_faveolus27640,0.17718724916867332,0.6433035202385048,0.17950923059282192,34884.0
hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_faveolus27640,0.2884093031151855,0.23501824972413207,0.4765724471606825,47124.0
hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_faveolus27640,0.740383813099708,0.12726324572382144,0.1323529411764706,47940.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.6905851501439737,0.15713698066639242,0.1522778691896339,38896.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.2655521287799007,0.3240747705731909,0.4103731006469084,53176.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.26408668730650153,0.32598039215686275,0.4099329205366357,38760.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.4540953090096798,0.24819434102755025,0.2977103499627699,53720.0
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.4303565985979884,0.2590165599918724,0.3106268414101392,39372.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.27840272068166527,0.38967785335226846,0.3319194259660662,53516.0
aphanotorulus_emarginatus19719,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.45404678562281225,0.24474942371723726,0.3012037906599505,46852.0
baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.43579121789560893,0.24804710616641024,0.31616167593798084,33796.0
hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.2755791921453794,0.39113771423649984,0.33328309361812075,46444.0
hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.7675110506630398,0.12089850391023461,0.11159044542672561,47056.0
aphanotorulus_emarginatus19719,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.8210468736850963,0.08991837078178912,0.08903475553311453,47532.0
baryancistrus_beggini39227,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.7050717924965262,0.14720356646595645,0.14772464103751737,34544.0
hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.27036036796354124,0.4052662671955439,0.32437336484091484,47396.0
hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.4537005957875304,0.29816648485357056,0.24813291935889906,47668.0
hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_faveolus27640,0.4491171672584205,0.3020823337491603,0.24880049899241916,41684.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.7600048216007714,0.1225168756027001,0.11747830279652845,41480.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.4854198089492207,0.29092149680384977,0.22365869424692955,55692.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.47543338527463963,0.28873685235683677,0.23582976236852357,41072.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.6162170750653202,0.19004660687804534,0.1937363180566344,56644.0
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.6029650109638669,0.19069978072266183,0.20633520831347127,41956.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.509238081623901,0.21034951039954256,0.28041240797655637,55964.0
aphanotorulus_emarginatus19719,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.6234477124183007,0.1840482026143791,0.19250408496732027,48960.0
baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.6065266106442577,0.18820728291316527,0.20526610644257703,35700.0
hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.5096656434082801,0.20886916120467933,0.28146519538704057,48212.0
hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.8273074423139422,0.0848228794280143,0.08786967825804355,49232.0
aphanotorulus_emarginatus19719,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.8531832486080853,0.07530460743968369,0.0715121439522311,49572.0
baryancistrus_beggini39227,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.7713276680278115,0.11475002759077364,0.11392230438141486,36244.0
hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.4962470425063229,0.21797748225503794,0.28577547523863917,49028.0
hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.6245568090249799,0.18974617244157937,0.18569701853344078,49640.0
hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.6320514010020412,0.18533123028391169,0.18261736871404713,43112.0
aphanotorulus_emarginatus19719,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.5247354171794241,0.2426983345639511,0.23256624825662484,48756.0
baryancistrus_beggini39227,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.5171286905566824,0.24405566824430922,0.23881564119900833,35496.0
hemiancistrus_cerrado66643,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.5493225380039656,0.20648132848645076,0.2441961335095836,48416.0
hemiancistrus_fuliginosus61299,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.5450571895424836,0.23419117647058824,0.2207516339869281,48960.0
hemiancistrus_punctulatus60931,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.5437182860364593,0.233673181732757,0.2226085322307837,42568.0
hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,hypostomus_cfhemicochliodon64160,hypostomus_faveolus27640,0.537479255024894,0.24059561128526646,0.22192513368983957,43384.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypostomus_melanephelis54012,0.7334249166741735,0.1298531663814071,0.13672191694441943,44404.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypostomus_melanephelis54012,0.6576797385620915,0.1743287405052111,0.1679915209326974,45288.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_melanephelis54012,0.22320620555914675,0.5417420814479638,0.23505171299288946,61880.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_melanephelis54012,0.2294296714119438,0.5352314441758439,0.23533888441221237,44676.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypostomus_melanephelis54012,0.6390468313863331,0.18598159826320687,0.17497157035046004,38692.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_melanephelis54012,0.2240967452971036,0.5385376231710959,0.23736563153180054,53584.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_melanephelis54012,0.22621803640955487,0.5382773860886036,0.23550457750184153,38012.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_melanephelis54012,0.12381581846221634,0.14043107879856062,0.735753102739223,54468.0
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_melanephelis54012,0.11944988152879366,0.14476666323271867,0.7357834552384876,38828.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_melanephelis54012,0.10410948742674876,0.10772568800534085,0.7881648245679104,53924.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hypancistrus_sp61759,hypostomus_melanephelis54012,0.17468098350451292,0.6195404087560951,0.20577860773939205,38556.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_melanephelis54012,0.08920820236491543,0.8350920520880107,0.07569974554707379,53448.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_melanephelis54012,0.1402310924369748,0.7378676470588236,0.12190126050420168,38080.0
