"","aphanotorulus_emarginatus19719","hemiancistrus_cerrado66643","hemiancistrus_fuliginosus61299","hypancistrus_sp61759","hypostomus_cf_gymnorhynchus80910","hypostomus_cfhemicochliodon64160","hypostomus_faveolus27640","hypostomus_melanephelis54012","hypostomus_sp50059","hypostomus_sp55539","hypostomus_sp76321","hypostomus_strigaticeps61230","panaqolus_gnomus57729","panaqolus_sp57507","panaqolus_sp61753","peckoltia_braueri69540","peckoltia_compta61756","peckoltia_snethlageae57059","pterygoplichthys_anisitsi26686","scobinancistrus_aureatus61467","spectracanthicus_immaculatus43225","12|34","13|24","14|23","p_T3",""
"43",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.3333333333333,50.3333333333333,745.333333333333,0.222206149072318,1.87930047109466e-240
"44",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60.3333333333333,50.3333333333333,753.333333333333,0.341485051150364,1.16535260850448e-245
"45",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62.6666666666667,44.6666666666667,751.666666666667,0.0815895124086383,3.59608262797925e-247
"46",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.3333333333333,46.3333333333333,744.333333333333,0.103815966800655,1.33017627908178e-242
"47",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63.3333333333333,44.3333333333333,763.333333333333,0.0663707460639058,7.35526129771703e-252
"48",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63.3333333333333,39.3333333333333,633.333333333333,0.0173299517971824,7.46198215321918e-201
"49",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,96,450,0.884634610741009,3.01490402596357e-86
"50",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62,35,603,0.00578635647232998,7.94110266713618e-192
"51",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,60,658,0.259258526527365,6.8367403714106e-193
"52",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,228,174,0.00698931110033245,1.25841095784334e-26
"53",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,214,375,227,0.535855449349607,1.69133468829399e-13
"54",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,518.333333333333,115.333333333333,141.333333333333,0.104315434367075,3.03454025800136e-86
"55",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,237.333333333333,378.333333333333,222.333333333333,0.484118267854535,3.04747894075428e-12
"56",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,213.333333333333,375.333333333333,231.333333333333,0.393261134632501,2.97339313353858e-13
"57",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,189.333333333333,300.333333333333,198.333333333333,0.64758283155633,6.33793393117468e-08
"58",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68.3333333333333,59.3333333333333,772.333333333333,0.42553035553001,5.54964051233711e-243
"59",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70.6666666666667,61.6666666666667,775.666666666667,0.43382426921281,1.58653702145786e-241
"60",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,61,784,0.927564415513298,6.36197244494517e-252
"61",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65.6666666666667,62.6666666666667,770.666666666667,0.791138490847703,7.37926253338624e-242
"62",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,59,792,0.785052126155796,2.9167798103713e-255
"63",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,56,669,0.851408200452214,1.80225802837046e-208
"64",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122.333333333333,111.333333333333,420.333333333333,0.471686191209513,5.91265717808674e-62
"65",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.3333333333333,62.3333333333333,608.333333333333,0.856695073091976,1.71841972311659e-178
"66",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80.3333333333333,85.3333333333333,653.333333333333,0.697649767007998,2.52124963496612e-173
"67",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,207,343,264,0.0085460875852885,3.42212962119219e-08
"68",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,385.666666666667,158.666666666667,226.666666666667,0.000514301579603231,1.1604659443143e-23
"69",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,228,346,266,0.087156963025945,2.35930645493776e-06
"70",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,210.333333333333,342.333333333333,274.333333333333,0.00359483433990902,1.36556194577711e-07
"71",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,181,301,231,0.0136451303535041,2.2946449356345e-07
"72",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75.6666666666667,48.6666666666667,780.666666666667,0.0150530010275889,1.00354025369661e-248
"73",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73.6666666666667,54.6666666666667,787.666666666667,0.0929016993589795,4.92186810963288e-249
"74",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67.6666666666667,52.6666666666667,784.666666666667,0.170939596005113,1.06684223510888e-252
"75",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77.6666666666667,45.6666666666667,776.666666666667,0.00375536896150381,8.67106786833208e-248
"76",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71.3333333333333,47.3333333333333,800.333333333333,0.0270505035063184,2.06564598521121e-260
"77",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64.3333333333333,47.3333333333333,662.333333333333,0.106988097089571,3.02433271527521e-207
"78",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,113.333333333333,110.333333333333,433.333333333333,0.841012728988285,4.68101989861148e-69
"79",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,47,624,0.0603768231227854,4.31765479929892e-190
"80",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,75,668,0.429044880206688,4.1152098264754e-182
"81",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,200.333333333333,195.333333333333,374.333333333333,0.801529130731362,2.62403574172853e-18
"82",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,279.333333333333,295.333333333333,260.333333333333,0.324103107374198,0.331875954145277
"83",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,280.333333333333,269.333333333333,272.333333333333,0.850713190992463,0.888691728070139
"84",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,250.666666666667,217.666666666667,226.666666666667,0.628344361467465,0.284758135065254
"85",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,63,51,787,0.260611600077163,1.20992940898689e-257
"86",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,62,58,789,0.714975408094431,1.22121705056401e-254
"87",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,63.3333333333333,51.3333333333333,790.333333333333,0.262007157016486,1.29448665797915e-258
"88",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,63,53,782,0.352861497924822,2.88110136812511e-254
"89",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,61,55,797,0.577383728990772,1.61857102171706e-260
"90",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,56.3333333333333,51.3333333333333,674.333333333333,0.62983713719115,1.45640642527829e-214
"91",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,81.3333333333333,94.3333333333333,469.333333333333,0.326448999993043,8.26899810604615e-99
"92",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,57,56,615,0.925051405847853,8.31243884720054e-187
"93",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,64,78,671,0.239670508472326,4.111069014142e-193
"94",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,243,362,181,0.00255800235514886,9.43931359518902e-15
"95",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,201,348,214,0.523345382741542,4.91854744536816e-12
"96",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,186.333333333333,291.333333333333,174.333333333333,0.52743323471407,5.26132239667103e-09
"97",1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,68,55,718,0.24068837787077,2.33927436134642e-223
"98",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,71.3333333333333,58.3333333333333,723.333333333333,0.253204043431641,1.45217735040762e-221
"99",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,68.6666666666667,52.6666666666667,727.666666666667,0.145761740111151,2.11264488144199e-228
"100",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,71.3333333333333,52.3333333333333,718.333333333333,0.0869077669409183,3.62422195859784e-223
"101",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,72.3333333333333,50.3333333333333,737.333333333333,0.0463979289732689,1.11362626713311e-231
"102",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,68.3333333333333,50.3333333333333,617.333333333333,0.0978090047158521,1.34525155317335e-184
"103",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,107,113,406,0.685811995510833,1.57286428158296e-61
"104",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,54,58,579,0.705427127623965,1.19975564303086e-172
"105",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,78.3333333333333,93.3333333333333,609.333333333333,0.251968380098798,3.25529321262991e-153
"106",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,245,277,320,0.158672707117375,0.00643297424725398
"107",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,219,238,270,0.360973896032266,0.0644798165320262
